Jeopardy! Sports Edition,Gametek,01/05/1994,Game Boy
Mickey's Ultimate Challenge,Hi-Tech,01/05/1994,Game Boy
Lamborghini American Challenge,Titus,01/05/1994,Game Boy
Donkey Kong,Nintendo,01/06/1994,Game Boy
Stop That Roach,Koei,01/07/1994,Game Boy
Indiana Jones and the Last Crusade,UBI Soft,01/07/1994,Game Boy
Mighty Morphin' Power Rangers,Bandai,01/08/1994,Game Boy
Elite Soccer,Gametek,01/08/1994,Game Boy
RoboCop vs. Terminator ,Virgin Interactive,01/08/1994,Game Boy
Lemmings,Ocean,01/08/1994,Game Boy
Cool Ball,Takara,01/08/1994,Game Boy
"Jungle Book, The",THQ,01/08/1994,Game Boy
Mortal Kombat II,Acclaim,01/09/1994,Game Boy
Mega Man V,Capcom,01/09/1994,Game Boy
Wild Snake,Spectrum Holobyte,01/09/1994,Game Boy
Taz-Mania,Sunsoft,01/09/1994,Game Boy
Sports Illustrated Golf Classic,Malibu Games,01/10/1994,Game Boy
Tarzan: Lord of the Jungle,Gametek,01/10/1994,Game Boy
Yogi Bear in Yogi Bear's Goldrush,Gametek,01/10/1994,Game Boy
Cool Spot ,Virgin Interactive,01/10/1994,Game Boy
Contra: The Alien Wars,Konami,01/10/1994,Game Boy
Space Invaders: The Arcade Game,Nintendo,01/10/1994,Game Boy
Star Trek Generations: Beyond the Nexus,Absolute,01/11/1994,Game Boy
Itchy & Scratchy in Miniature Golf Madness,Acclaim,01/11/1994,Game Boy
USHRA Monster Truck Wars,Acclaim,01/11/1994,Game Boy
SeaQuest: DSV,Malibu Games,01/11/1994,Game Boy
Race Days,Gametek,01/11/1994,Game Boy
"Pagemaster, The ",Fox Interactive,01/11/1994,Game Boy
Solitaire FunPak,Interplay,01/11/1994,Game Boy
NBA Jam,LJN,01/11/1994,Game Boy
Wario Blast: Featuring Bomberman!,Nintendo,01/11/1994,Game Boy
Bonk's Revenge ,Hudson Soft,01/11/1994,Game Boy
Samurai Shodown,Takara,01/11/1994,Game Boy
John Madden Football '95,THQ,01/11/1994,Game Boy
Stargate,Acclaim,01/12/1994,Game Boy
Metal Masters,Electro Brain,01/12/1994,Game Boy
Tiny Toon Adventures: Wacky Sports Challenge,Konami,01/12/1994,Game Boy
WWF Raw,LJN,01/12/1994,Game Boy
Pac-Attack,Namco,01/12/1994,Game Boy
"Flintstones: The Movie, The",Ocean,01/12/1994,Game Boy
Jurassic Park 2,Ocean,01/12/1994,Game Boy
BreakThru!,Spectrum Holobyte,01/01/1995,Game Boy
Casino Funpak,Interplay,01/01/1995,Game Boy
Micro Machines,Ocean,01/01/1995,Game Boy
Daffy Duck: The Marvin Missions,Sunsoft,01/01/1995,Game Boy
Monster Max,Titus,01/01/1995,Game Boy
Desert Strike: Return to the Gulf,Malibu Games,01/02/1995,Game Boy
FIFA International Soccer,Malibu Games,01/02/1995,Game Boy
Pinball Fantasies,Gametek,01/02/1995,Game Boy
True Lies,LJN,01/02/1995,Game Boy
Pac-in-Time,Namco,01/02/1995,Game Boy
NFL Quarterback Club 2,LJN,01/03/1995,Game Boy
Mario's Picross,Nintendo,01/03/1995,Game Boy
PGA European Tour,Malibu Games,01/04/1995,Game Boy
"Lion King, The",THQ,01/04/1995,Game Boy
Kirby's Dream Land 2,Nintendo,01/05/1995,Game Boy
Judge Dredd,Acclaim,01/06/1995,Game Boy
NBA Jam Tournament Edition,Acclaim,01/06/1995,Game Boy
Jungle Strike,Malibu Games,01/06/1995,Game Boy
NHL Hockey '95,Malibu Games,01/06/1995,Game Boy
Donkey Kong Land,Nintendo,01/06/1995,Game Boy
Animaniacs,Konami,01/07/1995,Game Boy
2-in-1 Asteroids / Missile Command,Nintendo,01/07/1995,Game Boy
Primal Rage,Time Warner,01/07/1995,Game Boy
Batman Forever,Acclaim,01/08/1995,Game Boy
Mighty Morphin Power Rangers - The Movie,Bandai,01/08/1995,Game Boy
2-in-1 Centipede / Millipede,Nintendo,01/08/1995,Game Boy
World Heroes 2 Jet,Playmates,01/08/1995,Game Boy
Foreman For Real,Acclaim,01/09/1995,Game Boy
2-in-1 Galaga / Galaxian,Nintendo,01/09/1995,Game Boy
Street Fighter II,Nintendo,01/09/1995,Game Boy
Earthworm Jim,Playmates,01/09/1995,Game Boy
NFL Quarterback Club '96,Acclaim,01/10/1995,Game Boy
2-in-1 Defender / Joust,Nintendo,01/10/1995,Game Boy
Madden '96 ,Black Pearl Software,01/10/1995,Game Boy
Shaq Fu ,Black Pearl Software,01/10/1995,Game Boy
Disney's Aladdin,THQ,01/10/1995,Game Boy
Mortal Kombat III,Midway,01/11/1995,Game Boy
Killer Instinct,Nintendo,01/11/1995,Game Boy
PGA Tour '96 ,Black Pearl Software,01/11/1995,Game Boy
Super Return of the Jedi ,Black Pearl Software,01/11/1995,Game Boy
Frank Thomas' Big Hurt Baseball,Acclaim,01/12/1995,Game Boy
"Getaway, The",Midway,01/12/1995,Game Boy
Vegas Stakes,Nintendo,01/12/1995,Game Boy
FIFA Soccer '96 ,Black Pearl Software,01/12/1995,Game Boy
CutThroat Island,Acclaim,01/01/1996,Game Boy
Tetris Blast,Nintendo,01/01/1996,Game Boy
Prehistorik Man,Titus,01/01/1996,Game Boy
College Slam,Acclaim,01/03/1996,Game Boy
NBA Live '96 ,Black Pearl Software,01/03/1996,Game Boy
Pocahontas ,Black Pearl Software,01/04/1996,Game Boy
Dragonheart,Acclaim,01/05/1996,Game Boy
Kirby's Block Ball,Nintendo,01/05/1996,Game Boy
Toy Story,THQ,01/05/1996,Game Boy
Olympic Summer Games,Black Pearl Software,01/06/1996,Game Boy
NHL '96,Black Pearl Software,01/07/1996,Game Boy
Iron Man/X-O Manowar: in Heavy Metal,Acclaim,01/08/1996,Game Boy
Tetris Attack,Nintendo,01/08/1996,Game Boy
"Sword of Hope 2, The",Kemco,01/09/1996,Game Boy
Donkey Kong Land 2: Diddy's Kong Quest,Nintendo,01/09/1996,Game Boy
Road Rash,Ocean,01/10/1996,Game Boy
Battle Zone/Super Breakout,Black Pearl Software,01/10/1996,Game Boy
Disney's Pinocchio,Black Pearl Software,01/10/1996,Game Boy
Casper,Natsume,01/11/1996,Game Boy
Battle Arena Toshinden,Nintendo,01/11/1996,Game Boy
Torpedo Range,Seta,01/11/1996,Game Boy
Urban Strike,Black Pearl Software,01/11/1996,Game Boy
FIFA Soccer '97,THQ,01/11/1996,Game Boy
Madden '97,THQ,01/11/1996,Game Boy
Jeopardy! Platinum Edition,Gametek,01/12/1996,Game Boy
Jeopardy! Teen Tournament,Gametek,01/12/1996,Game Boy
Street Racer,UBI Soft,01/12/1996,Game Boy
Taz-Mania 2 ,Black Pearl Software,01/01/1997,Game Boy
King of Fighters '95,Nintendo,01/02/1997,Game Boy
Mole Mania,Nintendo,01/02/1997,Game Boy
"Hunchback of Notre Dame, The",THQ,01/03/1997,Game Boy
Kirby's Star Stacker,Nintendo,01/04/1997,Game Boy
Game & Watch Gallery,Nintendo,01/05/1997,Game Boy
Hercules,THQ,01/07/1997,Game Boy
Tetris Plus,Nintendo,01/08/1997,Game Boy
Tamagotchi,Bandai,01/10/1997,Game Boy
Dr. Franken II,Jaleco,01/10/1997,Game Boy
The Fidgetts,Jaleco,01/10/1997,Game Boy
Donkey Kong Land 3,Nintendo,01/10/1997,Game Boy
Ken Griffey Jr. Presents: Major League Baseball,Nintendo,01/10/1997,Game Boy
Mortal Kombat I & II (2-in-1),Midway,01/11/1997,Game Boy
Turok: Battle of the Bionosaurs,Acclaim,01/12/1997,Game Boy
FIFA Road to World Cup '98,THQ,01/12/1997,Game Boy
The Lost World: Jurassic Park,THQ,01/12/1997,Game Boy
Superman,Titus,01/12/1997,Game Boy
